Datum a Cas,Nazov,Vykon aktualny_W,Energia za deň_kWh
2026-03-26 21:00:35,Moja FVE,0.0,2.7
2026-03-26 21:00:57,Moja FVE,0.0,2.7
2026-03-31 17:06:49,Moja FVE,59.9999986588955,8.1
2026-03-31 17:09:48,Moja FVE,59.9999986588955,8.1
2026-03-31 17:10:48,Moja FVE,59.9999986588955,8.1
2026-03-31 17:11:48,Moja FVE,59.9999986588955,8.1
2026-03-31 17:12:48,Moja FVE,59.9999986588955,8.1
2026-03-31 17:13:48,Moja FVE,59.9999986588955,8.1
2026-03-31 17:14:48,Moja FVE,59.9999986588955,8.1
2026-04-07 16:20:08,Moja FVE,4780000.20980835,34.9
2026-04-07 16:20:47,Moja FVE,4780.00020980835,34.9
2026-04-07 16:21:15,Moja FVE,4780.00020980835,34.9
2026-04-07 16:21:33,Moja FVE,4780.00020980835,34.9
2026-04-07 16:24:52,Moja FVE,4679.99982833862,35.3
2026-04-07 16:25:52,Moja FVE,4679.99982833862,35.3
2026-04-07 16:26:52,Moja FVE,4679.99982833862,35.3
2026-05-03 09:14:06,Moja FVE,560.000002384186,0.9
2026-05-03 09:15:06,Moja FVE,550.000011920929,0.9
